Census2002, HasNew, SOC2000, SCTSEI, SCMSEI, NTPrestige, NTTSEI, HWTOccEd, HWTOccInc, HWTSEI, HWMOccED, HWMOccInc, HWMSEI, HWFOccEd, HWFOccInc, HWFSEI 
8060, No , 51-4060, 35.58, 33.89, 31.02, 44.47, 47.34, 50.05, 38.73, 45.02, 54.05, 39.25, 59.55, 29.73, 40.20 
8100, Yes, 51-4070, 19.14, 18.32, 32.84, 28.31, 23.85, 20.60, 23.87, 25.45, 24.37, 24.28, 19.07, 7.91, 18.03 
8120, Yes, 51-4081, 20.92, 21.01, 31.20, 32.21, 24.31, 20.58, 24.05, 25.98, 23.32, 23.98, 18.14, 8.47, 18.08 
8130, No , 51-4111, 31.82, 33.67, 42.60, 45.84, 42.05, 50.91, 37.22, 42.05, 50.91, 37.46, 35.39, 26.46, 31.72 
8140, Yes, 51-4120, 20.44, 19.63, 41.47, 31.48, 23.18, 25.67, 25.07, 23.50, 26.84, 24.86, 18.46, 12.51, 20.38 
8150, Yes, 51-4191, 21.99, 21.41, 40.38, 35.70, 24.26, 32.95, 27.33, 24.27, 34.79, 28.00, 17.87, 11.24, 19.56 
8160, Yes, 51-4192, 24.38, 24.21, 33.38, 37.00, 33.40, 27.41, 29.35, 32.03, 28.29, 27.59, 37.79, 19.05, 30.16 
8200, Yes, 51-4193, 19.82, 18.20, 36.05, 29.98, 22.62, 17.74, 22.57, 23.53, 18.87, 21.33, 14.79, 9.77, 17.11 
8210, No , 51-4194, 20.86, 20.31, 26.71, 37.60, 28.85, 32.81, 29.02, 27.24, 33.87, 28.51, 38.84, 20.05, 30.99 
8220, No , 51-4199, 19.47, 19.07, 33.51, 29.95, 23.06, 21.15, 23.62, 24.51, 25.76, 24.53, 18.84, 8.76, 18.33 
8230, Yes, 51-5010, 21.06, 25.34, 32.61, 28.77, 29.03, 19.34, 25.53, 32.67, 29.00, 27.99, 25.20, 9.49, 22.07 
8240, No , 51-5021, 26.48, 26.92, 39.39, 36.81, 33.46, 25.14, 28.84, 33.55, 28.19, 28.01, 32.30, 8.76, 24.53 
8250, Yes, 51-5022, 27.77, 28.10, 38.81, 39.72, 45.22, 25.13, 32.16, 45.76, 35.37, 33.04, 42.90, 11.44, 29.08 
8260, Yes, 51-5023, 26.31, 26.93, 39.12, 36.21, 33.45, 23.94, 28.43, 33.83, 27.22, 27.63, 32.08, 8.67, 24.38 
8300, Yes, 51-6011, 16.94, 17.62, 31.67, 23.22, 19.73, 9.05, 17.41, 29.14, 13.97, 20.04, 13.95, 4.99, 13.16 
8310, Yes, 51-6021, 14.87, 14.17, 28.60, 18.32, 13.95, 8.03, 13.59, 18.04, 13.16, 16.12, 12.05, 4.91, 11.72 
8320, Yes, 51-6031, 14.53, 14.83, 27.50, 17.00, 11.82, 4.88, 9.56, 14.68, 10.81, 13.20, 11.82, 3.92, 10.46 
8330, Yes, 51-6041, 18.64, 17.30, 35.11, 26.29, 22.58, 15.01, 21.42, 25.26, 17.87, 21.07, 16.86, 6.96, 16.38 
8340, Yes, 51-6042, 15.07, 13.24, 32.51, 17.32, 9.14, 5.29, 7.55, 12.14, 6.39, 7.15, 8.18, 4.05, 7.25 
8350, Yes, 51-6050, 18.71, 18.62, 38.20, 26.15, 26.24, 9.79, 20.40, 23.68, 17.20, 20.40, 26.83, 6.24, 20.60 
8360, Yes, 51-6061, 18.76, 17.69, 30.20, 28.59, 23.11, 18.65, 22.44, 25.41, 21.00, 22.35, 20.66, 11.65, 20.18 
8400, No , 51-6062, 18.01, 17.11, 31.39, 24.40, 18.33, 11.90, 18.03, 19.35, 14.37, 17.27, 15.74, 5.58, 14.43 
8410, Yes, 51-6063, 15.08, 13.20, 34.34, 19.51, 16.16, 6.74, 13.56, 14.28, 8.66, 10.65, 16.04, 5.18, 14.50 
8420, Yes, 51-6064, 14.10, 11.96, 30.53, 18.24, 12.21, 6.26, 10.95, 16.03, 12.91, 15.26, 10.06, 3.14, 7.86 
8430, Yes, 51-6091, 17.36, 16.39, 31.58, 25.75, 19.42, 15.43, 19.57, 21.58, 19.29, 20.57, 16.43, 7.36, 15.94 
8440, No , 51-6092, 33.12, 30.58, 29.42, 40.12, 43.89, 37.54, 34.75, 42.10, 43.62, 35.09, 50.74, 23.51, 35.42 
8450, No , 51-6093, 18.04, 16.70, 34.86, 26.22, 22.59, 14.76, 21.44, 23.27, 17.77, 20.52, 20.78, 8.28, 19.43 
8460, No , 51-6099, 16.84, 15.56, 33.10, 23.88, 21.41, 13.24, 19.78, 23.87, 16.70, 19.57, 16.99, 7.45, 16.21 
8500, No , 51-7011, 21.74, 20.24, 44.55, 34.94, 32.56, 21.11, 27.31, 32.77, 22.17, 25.11, 25.79, 9.48, 22.20 
8510, No , 51-7021, 19.85, 18.51, 38.49, 28.31, 30.46, 13.31, 23.89, 32.32, 16.17, 22.15, 24.76, 7.06, 20.39 
8520, Yes, 51-7030, 30.21, 32.08, 38.52, 48.10, 50.82, 58.84, 41.41, 49.76, 61.79, 42.55, 60.65, 19.41, 37.46 
8530, Yes, 51-7041, 16.76, 14.47, 33.56, 24.28, 15.95, 10.25, 16.10, 16.03, 10.49, 13.33, 16.57, 6.02, 15.66 
8540, Yes, 51-7042, 19.10, 18.40, 26.39, 29.81, 24.21, 10.60, 19.93, 24.86, 11.63, 16.84, 21.03, 5.61, 17.32 
8550, No , 51-7099, 20.17, 19.68, 28.80, 31.03, 26.83, 15.80, 23.10, 27.48, 18.23, 21.42, 25.37, 7.20, 19.33 
